CUSTOMER_ID,SALES_ORG,DIST_CHANNEL,DIV,CUST_GRP,CUST_GRP,EMAIL,PHONE
1000001,CH01,01,01,A17,A17,cust001@example.com,+41 12 345 67 89
1000002,CH01,01,01,B02,B02,cust002@example.com,+41 98 765 43 21
1000003,CH01,01,01,,,cust003@example.com,
1000004,CH01,01,01,INVALID-VALUE,INVALID-VALUE,cust004@example.com,+41 11 222 33 44
1000005,CH01,01,01,B02,B02,,+41 55 666 77 88
1000006,DE01,01,01,C01,C01,cust006@example.com,+49 170 1234567
1000007,DE01,01,01,,,cust007@example.com,+49 171 7654321
1000008,DE01,01,01,A17,A17,cust008@example.com,
1000009,DE01,01,01,B02,B02,cust009@example.com,+49 160 1112233
1000010,CH01,01,01,A17,A17,cust010@example.com,+41 79 000 11 22
